Time elapsed was 59132825ns or 0.059132825s,,,59132825,0.059132825
Time elapsed was 52305646ns or 0.052305646s,,,52305646,0.052305646
Time elapsed was 54013791ns or 0.054013791s,,,54013791,0.054013791
Time elapsed was 62894925ns or 0.062894925s,,,62894925,0.062894925
Time elapsed was 60217352ns or 0.060217352s,,,60217352,0.060217352
Time elapsed was 59550506ns or 0.059550506s,,,59550506,0.059550506
Time elapsed was 61469862ns or 0.061469862s,,,61469862,0.061469862
Time elapsed was 52252657ns or 0.052252657s,,,52252657,0.052252657
Time elapsed was 59421794ns or 0.059421794s,,,59421794,0.059421794
Time elapsed was 62749401ns or 0.062749401s,,,62749401,0.062749401
,,,58400875.9,0.058400876
