Time elapsed was 97128634ns or 0.097128634s,,97128634,0.097128634
Time elapsed was 98417673ns or 0.098417673s,,98417673,0.098417673
Time elapsed was 97611512ns or 0.097611512s,,97611512,0.097611512
Time elapsed was 97872260ns or 0.097872260s,,97872260,0.09787226
Time elapsed was 97233037ns or 0.097233037s,,97233037,0.097233037
Time elapsed was 97926542ns or 0.097926542s,,97926542,0.097926542
Time elapsed was 97071470ns or 0.097071470s,,97071470,0.09707147
Time elapsed was 97701715ns or 0.097701715s,,97701715,0.097701715
Time elapsed was 97176758ns or 0.097176758s,,97176758,0.097176758
Time elapsed was 97822205ns or 0.097822205s,,97822205,0.097822205
,,97596180.6,0.097596181
